,index,split
463,463,test
464,464,train
465,465,test
466,466,train
467,467,train
468,468,train
469,469,train
470,470,train
471,471,train
472,472,test
473,473,test
474,474,test
475,475,test
476,476,test
477,477,test
478,478,test
479,479,test
480,480,test
481,481,test
482,482,test
483,483,test
484,484,test
485,485,test
486,486,test
487,487,test
488,488,test
489,489,test
490,490,test
491,491,test
492,492,test
493,493,test
494,494,train
495,495,train
496,496,train
497,497,train
498,498,train
499,499,train
500,500,train
501,501,train
502,502,train
503,503,train
504,504,train
505,505,train
506,506,train
507,507,train
508,508,train
509,509,train
510,510,train
511,511,train
512,512,train
513,513,train
514,514,train
515,515,train
516,516,train
517,517,train
518,518,train
519,519,train
520,520,train
521,521,train
522,522,train
523,523,train
524,524,validate
525,525,train
526,526,train
527,527,train
528,528,train
529,529,train
530,530,train
531,531,train
532,532,train
533,533,train
534,534,train
535,535,train
536,536,train
537,537,train
538,538,train
539,539,train
540,540,train
541,541,train
542,542,train
543,543,train
544,544,train
545,545,test
546,546,test
547,547,test
548,548,test
549,549,train
550,550,validate
551,551,train
552,552,train
553,553,train
554,554,train
555,555,train
556,556,train
557,557,train
558,558,train
559,559,train
560,560,train
561,561,train
562,562,train
563,563,train
564,564,train
565,565,train
566,566,train
567,567,train
568,568,train
569,569,train
570,570,train
571,571,train
572,572,train
573,573,train
574,574,train
575,575,train
576,576,train
577,577,train
578,578,train
579,579,train
580,580,train
581,581,train
582,582,train
583,583,train
584,584,train
585,585,train
586,586,validate
587,587,train
588,588,test
589,589,train
590,590,train
591,591,train
592,592,validate
593,593,validate
594,594,validate
595,595,train
596,596,train
597,597,train
598,598,train
599,599,train
600,600,train
601,601,train
602,602,train
603,603,train
604,604,train
605,605,train
606,606,train
607,607,train
608,608,train
609,609,train
610,610,train
611,611,train
612,612,train
613,613,train
614,614,train
615,615,train
616,616,train
617,617,test
618,618,test
619,619,train
620,620,train
621,621,train
622,622,train
623,623,train
624,624,train
625,625,train
626,626,train
627,627,train
628,628,train
629,629,train
630,630,train
631,631,train
632,632,train
633,633,train
634,634,test
635,635,train
636,636,test
637,637,test
638,638,test
639,639,test
640,640,test
641,641,test
642,642,train
643,643,train
644,644,train
645,645,train
646,646,validate
647,647,validate
648,648,validate
649,649,validate
650,650,validate
651,651,train
652,652,test
653,653,train
654,654,train
655,655,train
656,656,train
657,657,train
658,658,train
659,659,train
660,660,train
661,661,train
662,662,train
663,663,test
664,664,test
665,665,test
666,666,test
667,667,test
668,668,test
669,669,test
670,670,test
671,671,test
672,672,train
673,673,train
674,674,train
675,675,train
676,676,train
677,677,train
678,678,test
679,679,test
680,680,train
681,681,train
682,682,validate
683,683,train
684,684,train
685,685,train
686,686,test
687,687,train
688,688,test
689,689,validate
690,690,validate
691,691,validate
692,692,validate
693,693,validate
694,694,validate
695,695,validate
696,696,validate
697,697,validate
698,698,validate
699,699,validate
700,700,validate
701,701,validate
702,702,validate
703,703,validate
704,704,validate
705,705,validate
706,706,validate
707,707,validate
708,708,validate
709,709,validate
710,710,validate
711,711,validate
712,712,validate
713,713,validate
714,714,validate
715,715,validate
716,716,validate
717,717,validate
718,718,validate
719,719,validate
720,720,validate
721,721,validate
722,722,validate
723,723,validate
724,724,validate
725,725,validate
726,726,validate
727,727,validate
728,728,validate
729,729,validate
730,730,validate
731,731,validate
732,732,train
733,733,train
734,734,train
735,735,train
736,736,test
737,737,test
738,738,train
739,739,train
740,740,train
741,741,train
742,742,train
743,743,train
744,744,train
745,745,train
746,746,train
747,747,train
748,748,validate
749,749,validate
750,750,train
751,751,validate
752,752,validate
753,753,validate
754,754,validate
755,755,train
756,756,train
757,757,train
758,758,train
759,759,train
760,760,train
761,761,train
762,762,train
763,763,train
764,764,train
765,765,train
766,766,train
767,767,train
768,768,train
769,769,train
770,770,train
771,771,train
772,772,train
773,773,train
774,774,train
775,775,train
776,776,train
777,777,train
778,778,train
779,779,train
780,780,train
781,781,train
782,782,train
783,783,train
784,784,validate
785,785,validate
786,786,validate
787,787,validate
788,788,train
789,789,train
790,790,train
791,791,train
792,792,test
793,793,train
794,794,train
795,795,train
796,796,train
797,797,train
798,798,train
799,799,train
800,800,validate
801,801,test
802,802,train
803,803,train
804,804,train
805,805,train
806,806,train
807,807,test
808,808,test
809,809,test
810,810,test
811,811,test
812,812,test
813,813,train
814,814,train
815,815,train
816,816,train
817,817,test
818,818,train
819,819,train
820,820,train
821,821,train
822,822,train
823,823,train
824,824,train
825,825,train
826,826,train
827,827,train
828,828,train
829,829,test
830,830,train
831,831,train
832,832,train
833,833,train
834,834,test
835,835,train
836,836,train
837,837,train
838,838,train
839,839,train
840,840,train
841,841,train
842,842,train
843,843,train
844,844,train
845,845,train
846,846,train
847,847,train
848,848,train
849,849,train
850,850,train
851,851,train
852,852,train
853,853,train
854,854,train
855,855,train
856,856,train
857,857,train
858,858,train
859,859,train
860,860,test
861,861,test
862,862,train
863,863,test
864,864,train
865,865,test
866,866,train
867,867,train
868,868,test
869,869,train
870,870,train
871,871,train
872,872,train
873,873,train
874,874,train
875,875,train
876,876,train
877,877,validate
878,878,test
879,879,test
880,880,train
881,881,test
882,882,test
883,883,test
884,884,test
885,885,test
886,886,test
887,887,test
888,888,test
889,889,test
890,890,train
891,891,train
892,892,train
893,893,train
894,894,train
895,895,train
896,896,train
897,897,train
898,898,train
899,899,train
900,900,train
901,901,train
902,902,train
903,903,train
904,904,train
905,905,train
906,906,train
907,907,train
908,908,train
909,909,train
910,910,test
911,911,test
912,912,test
913,913,test
914,914,test
915,915,train
916,916,train
917,917,train
918,918,train
919,919,train
920,920,train
921,921,train
922,922,train
923,923,train
924,924,train
925,925,train
926,926,train
927,927,train
928,928,train
929,929,train
930,930,train
931,931,test
932,932,test
933,933,test
934,934,test
935,935,test
936,936,test
937,937,test
938,938,test
939,939,test
940,940,test
941,941,test
942,942,test
943,943,test
944,944,test
945,945,test
946,946,test
947,947,test
948,948,test
949,949,test
950,950,test
951,951,test
952,952,test
953,953,test
954,954,test
955,955,test
956,956,test
957,957,test
958,958,test
959,959,test
960,960,test
961,961,test
962,962,test
963,963,test
964,964,test
965,965,test
966,966,test
967,967,test
968,968,test
969,969,test
970,970,test
971,971,test
972,972,test
973,973,test
974,974,train
975,975,train
976,976,test
977,977,test
978,978,test
979,979,test
980,980,test
981,981,train
982,982,train
983,983,train
984,984,train
985,985,train
986,986,train
987,987,train
988,988,train
989,989,train
990,990,train
991,991,train
992,992,train
993,993,train
994,994,train
995,995,train
996,996,train
997,997,train
998,998,train
999,999,train
1000,1000,train
1001,1001,train
1002,1002,train
1003,1003,test
1004,1004,test
1005,1005,test
1006,1006,test
1007,1007,train
1008,1008,train
1009,1009,train
1010,1010,train
1011,1011,test
1012,1012,validate
1013,1013,train
1014,1014,train
1015,1015,train
1016,1016,train
1017,1017,train
1018,1018,train
1019,1019,train
1020,1020,train
1021,1021,train
1022,1022,train
1023,1023,train
1024,1024,train
1025,1025,train
1026,1026,train
1027,1027,train
1028,1028,train
1029,1029,train
1030,1030,train
1031,1031,train
1032,1032,train
1033,1033,train
1034,1034,train
1035,1035,train
1036,1036,train
1037,1037,train
1038,1038,train
1039,1039,train
1040,1040,train
1041,1041,train
1042,1042,train
1043,1043,test
1044,1044,train
1045,1045,train
1046,1046,train
1047,1047,train
1048,1048,train
1049,1049,train
1050,1050,train
1051,1051,train
1052,1052,train
1053,1053,train
1054,1054,train
1055,1055,train
1056,1056,train
1057,1057,train
1058,1058,train
1059,1059,train
1060,1060,train
1061,1061,train
1062,1062,train
1063,1063,train
1064,1064,train
1065,1065,train
1066,1066,train
1067,1067,train
1068,1068,train
1069,1069,train
1070,1070,train
1071,1071,train
1072,1072,train
1073,1073,train
1074,1074,train
1075,1075,train
1076,1076,train
1077,1077,train
1078,1078,train
1079,1079,train
1080,1080,train
1081,1081,train
1082,1082,train
1083,1083,train
1084,1084,train
1085,1085,train
1086,1086,train
1087,1087,train
1088,1088,train
1089,1089,train
1090,1090,test
1091,1091,test
1092,1092,test
1093,1093,test
1094,1094,test
1095,1095,train
1096,1096,validate
1097,1097,train
1098,1098,train
1099,1099,train
1100,1100,train
1101,1101,train
1102,1102,train
1103,1103,train
1104,1104,train
1105,1105,train
1106,1106,train
1107,1107,train
1108,1108,test
1109,1109,test
1110,1110,test
1111,1111,test
1112,1112,test
1113,1113,test
1114,1114,test
1115,1115,test
1116,1116,test
1117,1117,test
1118,1118,test
1119,1119,test
1120,1120,test
1121,1121,test
1122,1122,test
1123,1123,test
1124,1124,test
1125,1125,train
1126,1126,train
1127,1127,train
1128,1128,train
1129,1129,train
1130,1130,train
1131,1131,test
1132,1132,test
1133,1133,test
1134,1134,test
1135,1135,test
1136,1136,test
1137,1137,train
1138,1138,train
1139,1139,train
1140,1140,train
1141,1141,validate
1142,1142,validate
1143,1143,validate
1144,1144,validate
1145,1145,train
1146,1146,train
1147,1147,train
1148,1148,train
1149,1149,train
1150,1150,train
1151,1151,train
1152,1152,validate
1153,1153,validate
1154,1154,validate
1155,1155,train
1156,1156,train
1157,1157,train
1158,1158,train
1159,1159,train
1160,1160,train
1161,1161,train
1162,1162,train
1163,1163,train
1164,1164,train
1165,1165,test
1166,1166,test
1167,1167,test
1168,1168,test
1169,1169,test
1170,1170,test
1171,1171,test
1172,1172,train
1173,1173,train
1174,1174,train
1175,1175,train
1176,1176,train
1177,1177,train
1178,1178,train
1179,1179,train
1180,1180,train
1181,1181,test
1182,1182,test
1183,1183,train
1184,1184,train
1185,1185,train
1186,1186,train
1187,1187,train
1188,1188,train
1189,1189,train
1190,1190,train
1191,1191,train
1192,1192,train
1193,1193,train
1194,1194,train
1195,1195,train
1196,1196,train
1197,1197,test
1198,1198,test
1199,1199,test
1200,1200,test
1201,1201,train
1202,1202,train
1203,1203,train
1204,1204,train
1205,1205,train
1206,1206,train
1207,1207,validate
1208,1208,test
1209,1209,test
1210,1210,test
1211,1211,test
1212,1212,test
1213,1213,train
1214,1214,test
1215,1215,train
1216,1216,train
1217,1217,train
1218,1218,test
1219,1219,test
1220,1220,test
1221,1221,test
1222,1222,test
1223,1223,test
1224,1224,train
1225,1225,train
1226,1226,train
1227,1227,train
1228,1228,train
1229,1229,train
1230,1230,train
1231,1231,train
1232,1232,train
1233,1233,train
1234,1234,train
1235,1235,train
1236,1236,train
1237,1237,train
1238,1238,train
1239,1239,train
1240,1240,train
1241,1241,train
1242,1242,train
1243,1243,train
1244,1244,train
1245,1245,train
1246,1246,train
1247,1247,train
1248,1248,test
1249,1249,test
1250,1250,test
1251,1251,test
1252,1252,test
1253,1253,train
1254,1254,train
1255,1255,train
1256,1256,train
1257,1257,train
1258,1258,train
1259,1259,train
1260,1260,train
1261,1261,train
1262,1262,train
1263,1263,train
1264,1264,train
1265,1265,train
1266,1266,test
1267,1267,train
1268,1268,train
1269,1269,train
1270,1270,train
1271,1271,train
1272,1272,train
1273,1273,validate
1274,1274,validate
1275,1275,train
1276,1276,train
1277,1277,train
1278,1278,test
1279,1279,test
1280,1280,test
1281,1281,train
1282,1282,train
1283,1283,train
1284,1284,test
1285,1285,test
1286,1286,train
1287,1287,train
1288,1288,train
1289,1289,train
1290,1290,train
1291,1291,train
1292,1292,train
1293,1293,train
1294,1294,train
1295,1295,train
1296,1296,train
1297,1297,train
1298,1298,train
1299,1299,train
1300,1300,train
1301,1301,test
1302,1302,test
1303,1303,train
1304,1304,train
1305,1305,train
1306,1306,train
1307,1307,train
1308,1308,train
1309,1309,train
1310,1310,train
1311,1311,train
1312,1312,train
1313,1313,train
1314,1314,train
1315,1315,test
1316,1316,test
1317,1317,test
1318,1318,train
1319,1319,train
1320,1320,train
1321,1321,train
1322,1322,train
1323,1323,train
1324,1324,train
1325,1325,train
1326,1326,train
1327,1327,train
1328,1328,train
1329,1329,test
1330,1330,test
1331,1331,test
1332,1332,train
1333,1333,train
1334,1334,train
1335,1335,test
1336,1336,test
1337,1337,test
1338,1338,test
1339,1339,test
1340,1340,test
1341,1341,validate
1342,1342,validate
1343,1343,validate
1344,1344,validate
1345,1345,train
1346,1346,train
1347,1347,train
1348,1348,train
1349,1349,test
1350,1350,test
1351,1351,train
1352,1352,train
1353,1353,train
1354,1354,train
1355,1355,test
1356,1356,test
1357,1357,train
1358,1358,train
1359,1359,train
1360,1360,train
1361,1361,train
1362,1362,train
1363,1363,train
1364,1364,train
1365,1365,train
1366,1366,train
1367,1367,train
1368,1368,train
1369,1369,train
1370,1370,train
1371,1371,train
1372,1372,train
1373,1373,train
1374,1374,train
1375,1375,train
1376,1376,train
1377,1377,train
1378,1378,train
1379,1379,train
1380,1380,train
1381,1381,train
1382,1382,train
1383,1383,train
1384,1384,train
1385,1385,train
1386,1386,train
1387,1387,validate
1388,1388,validate
1389,1389,train
1390,1390,train
1391,1391,test
1392,1392,test
1393,1393,test
1394,1394,train
1395,1395,train
1396,1396,train
1397,1397,train
1398,1398,train
1399,1399,train
1400,1400,train
1401,1401,test
1402,1402,test
1403,1403,test
1404,1404,test
1405,1405,test
1406,1406,validate
1407,1407,validate
1408,1408,validate
1409,1409,validate
1410,1410,validate
1411,1411,validate
1412,1412,validate
1413,1413,validate
1414,1414,test
1415,1415,validate
1416,1416,validate
1417,1417,validate
1418,1418,validate
1419,1419,train
1420,1420,train
1421,1421,train
1422,1422,train
1423,1423,train
1424,1424,test
1425,1425,train
1426,1426,train
1427,1427,train
1428,1428,train
1429,1429,train
1430,1430,train
1431,1431,train
1432,1432,train
1433,1433,test
1434,1434,test
1435,1435,train
1436,1436,validate
1437,1437,train
1438,1438,train
1439,1439,test
1440,1440,train
1441,1441,test
1442,1442,validate
1443,1443,validate
1444,1444,validate
1445,1445,validate
1446,1446,validate
1447,1447,validate
1448,1448,validate
1449,1449,validate
1450,1450,validate
1451,1451,validate
1452,1452,validate
1453,1453,validate
1454,1454,validate
1455,1455,validate
1456,1456,test
1457,1457,train
1458,1458,train
1459,1459,train
1460,1460,train
1461,1461,train
1462,1462,train
1463,1463,train
1464,1464,train
1465,1465,train
1466,1466,train
1467,1467,train
1468,1468,train
1469,1469,train
1470,1470,train
1471,1471,test
1472,1472,test
1473,1473,test
1474,1474,test
1475,1475,test
1476,1476,test
1477,1477,test
1478,1478,test
1479,1479,test
1480,1480,test
1481,1481,test
1482,1482,test
1483,1483,test
1484,1484,train
1485,1485,train
1486,1486,train
1487,1487,train
1488,1488,test
1489,1489,test
1490,1490,test
1491,1491,test
1492,1492,test
1493,1493,train
1494,1494,test
1495,1495,test
1496,1496,test
1497,1497,test
1498,1498,test
1499,1499,test
1500,1500,test
1501,1501,test
1502,1502,test
1503,1503,test
1504,1504,test
1505,1505,train
1506,1506,train
1507,1507,validate
1508,1508,validate
1509,1509,validate
1510,1510,validate
1511,1511,validate
1512,1512,validate
1513,1513,validate
1514,1514,validate
1515,1515,validate
1516,1516,validate
1517,1517,validate
1518,1518,validate
1519,1519,validate
1520,1520,train
1521,1521,test
1522,1522,test
1523,1523,test
1524,1524,test
1525,1525,test
1526,1526,test
1527,1527,test
1528,1528,test
1529,1529,test
1530,1530,test
1531,1531,test
1532,1532,test
1533,1533,test
1534,1534,test
1535,1535,test
1536,1536,test
1537,1537,test
1538,1538,test
1539,1539,test
1540,1540,train
1541,1541,train
1542,1542,train
1543,1543,train
1544,1544,train
1545,1545,train
1546,1546,train
1547,1547,train
1548,1548,train
1549,1549,train
1550,1550,train
1551,1551,train
1552,1552,train
1553,1553,train
1554,1554,train
1555,1555,train
1556,1556,train
1557,1557,train
1558,1558,train
1559,1559,train
1560,1560,test
1561,1561,test
1562,1562,test
1563,1563,test
1564,1564,test
1565,1565,test
1566,1566,test
1567,1567,test
1568,1568,test
1569,1569,test
1570,1570,test
1571,1571,test
1572,1572,test
1573,1573,test
1574,1574,test
1575,1575,test
1576,1576,test
1577,1577,test
1578,1578,test
1579,1579,test
1580,1580,test
1581,1581,test
1582,1582,test
1583,1583,test
1584,1584,test
1585,1585,test
1586,1586,test
1587,1587,test
1588,1588,test
1589,1589,test
1590,1590,test
1591,1591,test
1592,1592,test
1593,1593,test
1594,1594,test
1595,1595,test
1596,1596,test
1597,1597,test
1598,1598,test
1599,1599,test
1600,1600,test
1601,1601,test
1602,1602,test
1603,1603,test
1604,1604,test
1605,1605,test
1606,1606,test
1607,1607,test
1608,1608,test
1609,1609,test
1610,1610,test
1611,1611,train
1612,1612,train
1613,1613,train
1614,1614,train
1615,1615,train
1616,1616,train
1617,1617,train
1618,1618,train
1619,1619,train
1620,1620,train
1621,1621,train
1622,1622,test
1623,1623,test
1624,1624,train
1625,1625,train
1626,1626,train
1627,1627,train
1628,1628,train
1629,1629,train
1630,1630,train
1631,1631,train
1632,1632,train
1633,1633,train
1634,1634,train
1635,1635,train
1636,1636,train
1637,1637,train
1638,1638,train
1639,1639,train
1640,1640,train
1641,1641,train
1642,1642,train
1643,1643,train
1644,1644,train
1645,1645,train
1646,1646,train
1647,1647,train
1648,1648,train
1649,1649,train
1650,1650,train
1651,1651,train
1652,1652,train
1653,1653,train
1654,1654,train
1655,1655,train
1656,1656,train
1657,1657,train
1658,1658,train
1659,1659,train
1660,1660,train
1661,1661,test
1662,1662,test
1663,1663,test
1664,1664,test
1665,1665,train
1666,1666,train
1667,1667,test
1668,1668,train
1669,1669,test
1670,1670,test
1671,1671,test
1672,1672,test
1673,1673,test
1674,1674,test
1675,1675,test
1676,1676,train
1677,1677,train
1678,1678,train
1679,1679,train
1680,1680,train
1681,1681,train
1682,1682,train
1683,1683,validate
1684,1684,validate
1685,1685,validate
1686,1686,validate
1687,1687,validate
1688,1688,validate
1689,1689,validate
1690,1690,test
1691,1691,validate
1692,1692,train
1693,1693,train
1694,1694,test
1695,1695,train
1696,1696,test
1697,1697,test
1698,1698,train
1699,1699,train
1700,1700,validate
1701,1701,test
1702,1702,train
1703,1703,train
1704,1704,train
1705,1705,test
1706,1706,test
1707,1707,train
1708,1708,test
1709,1709,test
1710,1710,test
1711,1711,test
1712,1712,test
1713,1713,test
1714,1714,test
1715,1715,test
1716,1716,test
1717,1717,test
1718,1718,test
1719,1719,test
1720,1720,test
1721,1721,test
1722,1722,test
1723,1723,test
1724,1724,test
1725,1725,test
1726,1726,train
1727,1727,train
1728,1728,train
1729,1729,train
1730,1730,train
1731,1731,train
1732,1732,train
1733,1733,train
1734,1734,train
1735,1735,test
1736,1736,test
1737,1737,test
1738,1738,test
1739,1739,train
1740,1740,train
1741,1741,train
1742,1742,train
1743,1743,train
1744,1744,test
1745,1745,test
1746,1746,train
1747,1747,train
1748,1748,train
1749,1749,train
1750,1750,train
1751,1751,train
1752,1752,train
1753,1753,train
1754,1754,train
1755,1755,train
1756,1756,train
1757,1757,train
1758,1758,train
1759,1759,train
1760,1760,train
1761,1761,train
1762,1762,train
1763,1763,train
1764,1764,train
1765,1765,train
1766,1766,train
1767,1767,train
1768,1768,train
1769,1769,train
1770,1770,train
1771,1771,train
1772,1772,train
1773,1773,train
1774,1774,train
1775,1775,train
1776,1776,train
1777,1777,train
1778,1778,train
1779,1779,train
1780,1780,train
1781,1781,test
1782,1782,test
1783,1783,test
1784,1784,train
1785,1785,train
1786,1786,validate
1787,1787,validate
1788,1788,validate
1789,1789,validate
1790,1790,validate
1791,1791,validate
1792,1792,validate
1793,1793,validate
1794,1794,validate
1795,1795,test
1796,1796,train
1797,1797,test
1798,1798,test
1799,1799,train
1800,1800,train
1801,1801,train
1802,1802,train
1803,1803,train
1804,1804,train
1805,1805,train
1806,1806,train
1807,1807,train
1808,1808,train
1809,1809,train
1810,1810,train
1811,1811,train
1812,1812,train
1813,1813,train
1814,1814,train
1815,1815,train
1816,1816,train
1817,1817,train
1818,1818,train
1819,1819,train
1820,1820,train
1821,1821,train
1822,1822,train
1823,1823,train
1824,1824,train
1825,1825,train
1826,1826,train
1827,1827,test
1828,1828,test
1829,1829,test
1830,1830,test
1831,1831,test
1832,1832,test
1833,1833,train
1834,1834,train
1835,1835,train
1836,1836,test
1837,1837,train
1838,1838,train
1839,1839,train
1840,1840,train
1841,1841,train
1842,1842,train
1843,1843,train
1844,1844,train
1845,1845,train
1846,1846,train
1847,1847,train
1848,1848,train
1849,1849,train
1850,1850,train
1851,1851,train
1852,1852,test
1853,1853,train
1854,1854,test
1855,1855,test
1856,1856,train
1857,1857,train
1858,1858,train
1859,1859,train
1860,1860,train
1861,1861,train
1862,1862,validate
1863,1863,validate
1864,1864,test
1865,1865,test
1866,1866,train
1867,1867,train
1868,1868,train
1869,1869,train
1870,1870,train
1871,1871,train
1872,1872,train
1873,1873,train
1874,1874,train
1875,1875,train
1876,1876,test
1877,1877,validate
1878,1878,train
1879,1879,train
1880,1880,validate
1881,1881,validate
1882,1882,test
1883,1883,test
1884,1884,train
1885,1885,train
1886,1886,test
1887,1887,train
1888,1888,test
1889,1889,test
1890,1890,test
1891,1891,test
1892,1892,test
1893,1893,test
1894,1894,test
1895,1895,test
1896,1896,test
1897,1897,test
1898,1898,test
1899,1899,test
1900,1900,test
1901,1901,test
1902,1902,train
1903,1903,train
1904,1904,train
1905,1905,train
1906,1906,train
1907,1907,test
1908,1908,test
1909,1909,test
1910,1910,test
1911,1911,test
1912,1912,test
1913,1913,train
1914,1914,train
1915,1915,train
1916,1916,train
1917,1917,train
1918,1918,train
1919,1919,train
1920,1920,train
1921,1921,train
1922,1922,train
1923,1923,train
1924,1924,train
1925,1925,train
1926,1926,train
1927,1927,train
1928,1928,test
1929,1929,test
1930,1930,test
1931,1931,test
1932,1932,test
1933,1933,test
1934,1934,test
1935,1935,test
1936,1936,test
1937,1937,test
1938,1938,test
1939,1939,test
1940,1940,test
1941,1941,test
1942,1942,test
1943,1943,test
1944,1944,test
1945,1945,test
1946,1946,test
1947,1947,test
1948,1948,test
1949,1949,test
1950,1950,test
1951,1951,test
1952,1952,test
1953,1953,test
1954,1954,train
1955,1955,train
1956,1956,train
1957,1957,train
1958,1958,train
1959,1959,train
1960,1960,test
1961,1961,test
1962,1962,train
1963,1963,train
1964,1964,train
1965,1965,train
1966,1966,train
1967,1967,train
1968,1968,train
1969,1969,train
1970,1970,train
1971,1971,train
